provincia_id,departamento,departamento_id
6,Bahía Blanca,6056
78,Deseado,78014
78,Deseado,78014
78,Deseado,78014
78,Deseado,78014
78,Deseado,78014
78,Deseado,78014
78,Deseado,78014
26,Escalante,26021
26,Escalante,26021
26,Escalante,26021
26,Escalante,26021
26,Escalante,26021
26,Escalante,26021
26,Escalante,26021
26,Escalante,26021
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,Necochea,6581
6,Necochea,6581
6,Necochea,6581
6,Necochea,6581
6,Necochea,6581
6,Necochea,6581
6,Necochea,6581
6,Necochea,6581
6,Necochea,6581
6,Necochea,6581
6,Necochea,6581
6,Necochea,6581
6,Necochea,6581
6,Necochea,6581
6,Necochea,6581
6,Necochea,6581
6,Necochea,6581
6,Necochea,6581
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
6,sin especificar,6999
78,Deseado,78014
78,Deseado,78014
78,Deseado,78014
78,Deseado,78014
78,Deseado,78014
78,Deseado,78014
78,Deseado,78014
78,Deseado,78014
78,Deseado,78014
26,Biedma,26007
26,Biedma,26007
26,Biedma,26007
26,Biedma,26007
26,Biedma,26007
26,Biedma,26007
26,Biedma,26007
26,Rawson,26077
26,Rawson,26077
26,Rawson,26077
26,Rawson,26077
26,Rawson,26077
26,Rawson,26077
26,Rawson,26077
26,Rawson,26077
26,Rawson,26077
26,Rawson,26077
26,Rawson,26077
6,Coronel de Marina Leonardo Rosales,6182
6,Coronel de Marina Leonardo Rosales,6182
6,Coronel de Marina Leonardo Rosales,6182
6,Coronel de Marina Leonardo Rosales,6182
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
62,San Antonio,62077
6,La Costa,6420
6,La Costa,6420
6,La Costa,6420
78,Magallanes,78042
94,Ushuaia,94015
94,Ushuaia,94015
94,Ushuaia,94015
94,Ushuaia,94015
94,Ushuaia,94015
94,Ushuaia,94015
94,Ushuaia,94015
94,Ushuaia,94015
94,Ushuaia,94015
94,Ushuaia,94015
78,Deseado,78014
78,Deseado,78014
78,Deseado,78014
78,Deseado,78014
78,Deseado,78014
78,Deseado,78014
78,Deseado,78014
26,Escalante,26021
26,Escalante,26021
26,Escalante,26021
26,Escalante,26021
26,Escalante,26021
26,Escalante,26021
26,Escalante,26021
26,Escalante,26021
26,Escalante,26021
26,Escalante,26021
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
6,General Pueyrredon,6357
