especie_agrupada
otras especies
Calamar Illex
Merluza hubbsi S41
Rayas (sin V. Cost)
Merluza hubbsi S41
Merluza hubbsi S41
otras especies
Rayas (sin V. Cost)
Calamar Illex
Merluza hubbsi S41
Centolla
Calamar Illex
Abadejo
Merluza hubbsi S41
otras especies
Rayas (sin V. Cost)
Vieira (callos)
Calamar Illex
otras especies
Calamar Illex
otras especies
otras especies
Abadejo
Variado costero
otras especies
otras especies
otras especies
Variado costero
otras especies
Variado costero
otras especies
Variado costero
otras especies
Variado costero
Variado costero
otras especies
Variado costero
otras especies
Variado costero
Merluza hubbsi N41 CTMFM
Merluza hubbsi S41
otras especies
Variado costero
Variado costero
otras especies
Variado costero
otras especies
Variado costero
Variado costero
otras especies
Variado costero
otras especies
Variado costero
Variado costero
otras especies
Variado costero
Rayas (sin V. Cost)
Variado costero
otras especies
otras especies
otras especies
otras especies
Variado costero
otras especies
Variado costero
otras especies
Langostino
Calamar Illex
Abadejo
Variado costero
otras especies
Variado costero
otras especies
otras especies
Variado costero
Variado costero
otras especies
Variado costero
otras especies
Variado costero
Merluza hubbsi N41 CTMFM
Merluza hubbsi N41 ZEEA
Merluza hubbsi S41
otras especies
Variado costero
otras especies
Variado costero
Variado costero
Variado costero
otras especies
Variado costero
Variado costero
Variado costero
otras especies
Variado costero
Rayas (sin V. Cost)
Variado costero
otras especies
otras especies
otras especies
otras especies
Variado costero
otras especies
otras especies
Variado costero
otras especies
otras especies
otras especies
Variado costero
otras especies
Variado costero
otras especies
Variado costero
otras especies
Variado costero
otras especies
Variado costero
Merluza hubbsi N41 CTMFM
otras especies
Variado costero
Variado costero
otras especies
otras especies
Variado costero
otras especies
Variado costero
otras especies
Variado costero
Rayas (sin V. Cost)
Variado costero
otras especies
otras especies
Variado costero
Variado costero
Merluza hubbsi S41
Rayas (sin V. Cost)
otras especies
otras especies
Variado costero
Variado costero
Variado costero
otras especies
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
Calamar Illex
otras especies
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
otras especies
Langostino
otras especies
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
otras especies
Variado costero
Variado costero
Variado costero
Variado costero
Rayas (sin V. Cost)
Variado costero
Calamar Illex
Centolla
Centolla
Calamar Illex
Abadejo
Merluza hubbsi S41
otras especies
Rayas (sin V. Cost)
otras especies
Calamar Illex
Abadejo
Merluza hubbsi S41
otras especies
Calamar Illex
Langostino
otras especies
Langostino
Merluza hubbsi S41
Langostino
Langostino
Calamar Illex
otras especies
Merluza hubbsi S41
otras especies
otras especies
otras especies
otras especies
otras especies
otras especies
otras especies
otras especies
Langostino
otras especies
Merluza hubbsi GSM
otras especies
otras especies
otras especies
Rayas (sin V. Cost)
Rayas (sin V. Cost)
otras especies
Langostino
Calamar Illex
otras especies
otras especies
Merluza hubbsi GSM
otras especies
otras especies
otras especies
otras especies
Rayas (sin V. Cost)
otras especies
Langostino
otras especies
Merluza hubbsi GSM
otras especies
Rayas (sin V. Cost)
Variado costero
Variado costero
Variado costero
Centolla
Vieira (callos)
Abadejo
otras especies
otras especies
otras especies
Merluza de cola
Merluza negra
Polaca
Rayas (sin V. Cost)
otras especies
Calamar Illex
Merluza hubbsi S41
Rayas (sin V. Cost)
Centolla
Merluza hubbsi S41
Merluza hubbsi S41
otras especies
Calamar Illex
Merluza hubbsi S41
otras especies
Centolla
Calamar Illex
Abadejo
Merluza hubbsi N41 CTMFM
Merluza hubbsi S41
otras especies
Rayas (sin V. Cost)
Calamar Illex
Abadejo
otras especies
otras especies
Merluza hubbsi S41
otras especies
otras especies
otras especies
otras especies
Variado costero
otras especies
Rayas (sin V. Cost)
Rayas (sin V. Cost)
otras especies
Calamar Illex
Centolla
otras especies
Langostino
Calamar Illex
otras especies
Abadejo
otras especies
Variado costero
otras especies
otras especies
otras especies
Variado costero
otras especies
Variado costero
otras especies
Variado costero
otras especies
Variado costero
Variado costero
otras especies
Variado costero
otras especies
Variado costero
Merluza hubbsi N41 CTMFM
Merluza hubbsi N41 ZEEA
Merluza hubbsi S41
otras especies
Variado costero
Variado costero
otras especies
otras especies
Variado costero
otras especies
Variado costero
Variado costero
otras especies
Variado costero
otras especies
Variado costero
Variado costero
otras especies
Variado costero
Rayas (sin V. Cost)
Variado costero
Rayas (sin V. Cost)
Variado costero
otras especies
otras especies
otras especies
Variado costero
otras especies
Variado costero
Langostino
Calamar Illex
Abadejo
Variado costero
otras especies
Variado costero
otras especies
otras especies
otras especies
Variado costero
Variado costero
otras especies
Variado costero
Merluza hubbsi N41 CTMFM
Merluza hubbsi N41 ZEEA
Merluza hubbsi S41
otras especies
Variado costero
otras especies
otras especies
Variado costero
Variado costero
Variado costero
Variado costero
otras especies
Variado costero
Variado costero
Variado costero
Variado costero
Rayas (sin V. Cost)
Rayas (sin V. Cost)
Variado costero
otras especies
otras especies
Variado costero
otras especies
otras especies
Variado costero
otras especies
otras especies
Variado costero
otras especies
Variado costero
otras especies
Variado costero
otras especies
otras especies
Variado costero
otras especies
Variado costero
otras especies
otras especies
Variado costero
otras especies
Variado costero
Variado costero
otras especies
Variado costero
otras especies
otras especies
Variado costero
otras especies
Variado costero
Rayas (sin V. Cost)
Variado costero
otras especies
otras especies
Variado costero
otras especies
otras especies
Variado costero
Variado costero
Variado costero
Variado costero
otras especies
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
Calamar Illex
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
Variado costero
